consult_id,customer_id,consult_date,channel,agent_id,category,handle_time_min,resolved_yn,is_repeat
CNS00001,CUST0210,2024-09-26,앱,AGT025,요금문의,7.6,Y,N
CNS00002,CUST0035,2024-07-14,전화,AGT020,상품문의,13.8,Y,N
CNS00003,CUST0244,2024-07-15,전화,AGT006,상품문의,5.8,Y,N
CNS00004,CUST0061,2024-09-19,앱,AGT026,요금문의,4.7,N,N
CNS00005,CUST0090,2024-01-28,앱,AGT012,서비스불만,8.5,Y,N
CNS00006,CUST0233,2024-11-01,전화,AGT019,기타,10.0,Y,N
CNS00007,CUST0161,2024-01-11,전화,AGT022,결제오류,6.9,Y,N
CNS00008,CUST0116,2024-12-12,전화,AGT003,요금문의,6.1,Y,N
CNS00009,CUST0261,2024-06-08,매장,AGT019,결제오류,17.1,Y,N
CNS00010,CUST0230,2024-10-24,홈페이지,AGT030,상품문의,5.2,Y,N
CNS00011,CUST0098,2024-11-10,홈페이지,AGT005,서비스불만,5.7,Y,N
CNS00012,CUST0224,2024-05-15,전화,AGT028,요금문의,6.6,Y,N
CNS00013,CUST0070,2024-06-02,전화,AGT029,서비스불만,7.3,N,N
CNS00014,CUST0018,2024-04-02,전화,AGT029,서비스불만,7.7,Y,N
CNS00015,CUST0300,2024-05-19,전화,AGT003,서비스불만,6.7,Y,N
CNS00016,CUST0033,2024-02-04,홈페이지,AGT010,요금문의,5.4,Y,N
CNS00017,CUST0083,2024-12-09,매장,AGT012,상품문의,18.4,Y,N
CNS00018,CUST0370,2024-11-02,전화,AGT021,서비스불만,16.7,Y,N
CNS00019,CUST0140,2024-09-12,전화,AGT007,서비스불만,7.7,Y,N
CNS00020,CUST0206,2024-03-23,앱,AGT007,요금문의,15.8,N,N
CNS00021,CUST0318,2024-07-11,매장,AGT024,요금문의,9.1,Y,N
CNS00022,CUST0098,2024-06-17,전화,AGT017,서비스불만,17.3,Y,N
CNS00023,CUST0029,2024-06-29,전화,AGT005,서비스불만,18.7,Y,N
CNS00024,CUST0363,2024-05-10,앱,AGT002,상품문의,17.8,Y,N
CNS00025,CUST0070,2024-09-03,홈페이지,AGT008,요금문의,5.1,Y,N
CNS00026,CUST0372,2024-01-15,전화,AGT001,기타,5.8,Y,N
CNS00027,CUST0485,2024-05-13,전화,AGT002,요금문의,5.9,Y,N
CNS00028,CUST0206,2024-01-01,앱,AGT004,결제오류,16.0,Y,N
CNS00029,CUST0286,2024-10-11,전화,AGT022,요금문의,4.5,Y,N
CNS00030,CUST0281,2024-10-11,전화,AGT021,요금문의,26.6,Y,N
CNS00031,CUST0175,2024-07-31,매장,AGT003,요금문의,4.6,Y,N
CNS00032,CUST0200,2024-02-02,전화,AGT023,기타,10.6,Y,N
CNS00033,CUST0162,2024-08-15,전화,AGT011,요금문의,9.7,Y,Y
CNS00034,CUST0496,2024-03-25,전화,AGT017,요금문의,9.2,Y,N
CNS00035,CUST0498,2024-04-08,전화,AGT014,결제오류,13.2,N,N
CNS00036,CUST0317,2024-11-15,전화,AGT014,상품문의,3.3,Y,N
CNS00037,CUST0075,2024-03-25,전화,AGT023,서비스불만,2.8,N,N
CNS00038,CUST0373,2024-08-16,전화,AGT009,서비스불만,13.6,Y,N
CNS00039,CUST0205,2024-10-16,홈페이지,AGT021,상품문의,8.7,N,N
CNS00040,CUST0360,2024-03-19,앱,AGT020,요금문의,5.5,Y,N
CNS00041,CUST0375,2024-04-02,매장,AGT006,서비스불만,9.8,Y,N
CNS00042,CUST0496,2024-10-22,전화,AGT007,결제오류,4.0,Y,N
CNS00043,CUST0023,2024-07-12,홈페이지,AGT026,결제오류,17.9,Y,N
CNS00044,CUST0251,2024-06-28,매장,AGT030,서비스불만,6.0,Y,N
CNS00045,CUST0356,2024-03-07,앱,AGT018,서비스불만,3.9,Y,N
CNS00046,CUST0169,2024-07-13,앱,AGT001,서비스불만,13.0,Y,N
CNS00047,CUST0043,2024-04-25,앱,AGT021,서비스불만,15.4,Y,N
CNS00048,CUST0202,2024-12-22,매장,AGT008,상품문의,19.4,Y,N
CNS00049,CUST0281,2024-06-05,앱,AGT026,요금문의,19.5,Y,N
CNS00050,CUST0454,2024-03-22,전화,AGT027,요금문의,8.3,Y,N
CNS00051,CUST0318,2024-04-09,매장,AGT024,요금문의,9.5,Y,N
CNS00052,CUST0170,2024-04-20,전화,AGT030,결제오류,20.6,Y,N
CNS00053,CUST0311,2024-03-30,전화,AGT005,요금문의,6.8,Y,N
CNS00054,CUST0307,2024-06-10,전화,AGT003,요금문의,8.5,Y,N
CNS00055,CUST0232,2024-07-14,전화,AGT024,요금문의,13.8,Y,N
CNS00056,CUST0441,2024-07-01,전화,AGT017,상품문의,8.7,Y,Y
CNS00057,CUST0319,2024-11-13,전화,AGT016,기타,6.6,Y,N
CNS00058,CUST0444,2024-09-27,전화,AGT008,상품문의,4.8,Y,N
