customer_id,join_date,age_group,gender,region,plan_type,monthly_fee,tenure_months,churn_yn
CUST0001,2023-06-10,20대,F,서울,데이터무제한,99000,6,Y
CUST0002,2020-07-30,30대,M,인천,청소년요금제,29000,41,N
CUST0003,2022-06-13,20대,F,서울,5G스탠다드,69000,18,Y
CUST0004,2022-07-18,30대,M,기타,5G프리미엄,89000,17,N
CUST0005,2019-07-13,50대+,M,경기,5G스탠다드,69000,54,N
CUST0006,2023-05-05,30대,M,경기,LTE베이직,39000,8,N
CUST0007,2021-05-27,20대,M,서울,LTE베이직,39000,31,N
CUST0008,2019-06-07,30대,F,기타,LTE베이직,39000,55,N
CUST0009,2020-02-29,20대,F,경기,LTE베이직,39000,46,N
CUST0010,2020-08-10,40대,F,기타,5G스탠다드,69000,41,N
CUST0011,2020-01-10,30대,F,서울,5G프리미엄,89000,48,N
CUST0012,2022-06-15,20대,M,기타,LTE베이직,39000,18,N
CUST0013,2019-07-08,50대+,F,서울,5G스탠다드,69000,54,N
CUST0014,2022-12-22,10대,F,인천,LTE베이직,39000,12,Y
CUST0015,2022-12-01,40대,M,서울,청소년요금제,29000,13,Y
CUST0016,2022-05-27,40대,M,기타,LTE베이직,39000,19,N
CUST0017,2021-12-02,20대,M,부산,5G스탠다드,69000,25,N
CUST0018,2021-06-11,20대,M,경기,5G스탠다드,69000,31,N
CUST0019,2020-08-28,30대,M,서울,청소년요금제,29000,40,N
CUST0020,2020-12-05,40대,F,기타,데이터무제한,99000,37,N
CUST0021,2019-12-07,30대,F,경기,5G스탠다드,69000,49,N
CUST0022,2018-08-31,40대,M,기타,청소년요금제,29000,64,N
CUST0023,2022-11-06,40대,M,서울,5G스탠다드,69000,14,N
CUST0024,2021-05-06,20대,F,부산,LTE베이직,39000,32,N
CUST0025,2019-09-18,30대,F,인천,데이터무제한,99000,52,Y
CUST0026,2020-11-28,40대,M,인천,LTE베이직,39000,37,N
CUST0027,2021-08-31,20대,M,경기,5G스탠다드,69000,28,N
CUST0028,2023-03-27,20대,M,기타,청소년요금제,29000,9,N
CUST0029,2021-02-05,40대,M,기타,5G스탠다드,69000,35,Y
CUST0030,2018-12-17,20대,M,서울,5G스탠다드,69000,61,N
CUST0031,2019-11-25,40대,F,부산,데이터무제한,99000,49,Y
CUST0032,2020-12-29,40대,M,기타,청소년요금제,29000,36,N
CUST0033,2019-03-11,30대,M,경기,LTE베이직,39000,58,N
CUST0034,2020-03-23,20대,F,경기,5G프리미엄,89000,45,N
CUST0035,2018-11-10,30대,M,인천,5G프리미엄,89000,62,N
CUST0036,2020-09-12,20대,F,기타,LTE베이직,39000,40,N
CUST0037,2023-06-02,40대,F,서울,청소년요금제,29000,7,N
CUST0038,2021-04-27,30대,F,부산,청소년요금제,29000,32,N
CUST0039,2020-10-22,30대,F,경기,5G스탠다드,69000,38,N
CUST0040,2021-10-30,30대,M,인천,청소년요금제,29000,26,N
CUST0041,2020-08-06,50대+,F,부산,5G스탠다드,69000,41,N
