consult_id,customer_id,survey_date,score,comment
CNS00001,CUST0210,2024-09-27,4,만족
CNS00002,CUST0035,2024-07-16,4,만족
CNS00003,CUST0244,2024-07-16,3,보통
CNS00004,CUST0061,2024-09-20,2,불만족
CNS00005,CUST0090,2024-01-31,4,만족
CNS00006,CUST0233,2024-11-04,4,만족
CNS00007,CUST0161,2024-01-13,5,매우 만족
CNS00008,CUST0116,2024-12-16,5,매우 만족
CNS00009,CUST0261,2024-06-12,5,매우 만족
CNS00010,CUST0230,2024-10-25,4,만족
CNS00011,CUST0098,2024-11-12,4,만족
CNS00012,CUST0224,2024-05-17,5,매우 만족
CNS00013,CUST0070,2024-06-04,2,불만족
CNS00014,CUST0018,2024-04-06,5,매우 만족
CNS00015,CUST0300,2024-05-21,5,매우 만족
CNS00016,CUST0033,2024-02-06,4,만족
CNS00017,CUST0083,2024-12-11,4,만족
CNS00018,CUST0370,2024-11-05,4,만족
CNS00019,CUST0140,2024-09-12,5,매우 만족
CNS00020,CUST0206,2024-03-27,3,보통
CNS00021,CUST0318,2024-07-12,4,만족
CNS00022,CUST0098,2024-06-20,5,매우 만족
CNS00023,CUST0029,2024-07-02,4,만족
CNS00024,CUST0363,2024-05-11,4,만족
CNS00025,CUST0070,2024-09-03,5,매우 만족
CNS00026,CUST0372,2024-01-18,4,만족
CNS00027,CUST0485,2024-05-17,4,만족
CNS00028,CUST0206,2024-01-04,4,만족
CNS00029,CUST0286,2024-10-12,5,매우 만족
CNS00030,CUST0281,2024-10-14,3,보통
CNS00031,CUST0175,2024-08-02,4,만족
CNS00032,CUST0200,2024-02-06,4,만족
CNS00033,CUST0162,2024-08-19,4,만족
CNS00034,CUST0496,2024-03-27,5,매우 만족
CNS00035,CUST0498,2024-04-11,2,불만족
CNS00036,CUST0317,2024-11-16,4,만족
CNS00037,CUST0075,2024-03-25,5,매우 만족
CNS00038,CUST0373,2024-08-19,5,매우 만족
CNS00039,CUST0205,2024-10-16,1,매우 불만족
CNS00040,CUST0360,2024-03-22,5,매우 만족
CNS00041,CUST0375,2024-04-02,4,만족
CNS00042,CUST0496,2024-10-26,3,보통
CNS00043,CUST0023,2024-07-14,5,매우 만족
CNS00044,CUST0251,2024-07-02,5,매우 만족
CNS00045,CUST0356,2024-03-08,5,매우 만족
CNS00046,CUST0169,2024-07-13,3,보통
CNS00047,CUST0043,2024-04-29,5,매우 만족
CNS00048,CUST0202,2024-12-26,5,매우 만족
CNS00049,CUST0281,2024-06-07,4,만족
CNS00050,CUST0454,2024-03-25,5,매우 만족
CNS00051,CUST0318,2024-04-13,5,매우 만족
CNS00052,CUST0170,2024-04-23,4,만족
CNS00053,CUST0311,2024-03-31,3,보통
CNS00054,CUST0307,2024-06-14,4,만족
CNS00055,CUST0232,2024-07-17,4,만족
CNS00056,CUST0441,2024-07-05,3,보통
CNS00057,CUST0319,2024-11-16,5,매우 만족
CNS00058,CUST0444,2024-09-27,4,만족
CNS00059,CUST0083,2024-03-20,3,보통
CNS00060,CUST0050,2024-10-09,5,매우 만족
CNS00061,CUST0361,2024-12-10,3,보통
CNS00062,CUST0058,2024-12-31,2,불만족
CNS00063,CUST0102,2024-12-22,5,매우 만족
CNS00064,CUST0008,2024-05-01,3,보통
CNS00065,CUST0367,2024-10-09,4,만족
CNS00066,CUST0270,2024-08-26,4,만족
CNS00067,CUST0080,2024-07-12,4,만족
CNS00068,CUST0273,2024-09-20,4,만족
CNS00069,CUST0103,2024-04-26,4,만족
CNS00070,CUST0300,2024-11-04,5,매우 만족
CNS00071,CUST0415,2024-12-05,4,만족
CNS00072,CUST0114,2024-06-11,3,보통
CNS00073,CUST0211,2024-09-24,4,만족
CNS00074,CUST0320,2024-03-15,4,만족
CNS00075,CUST0102,2024-10-20,2,불만족
CNS00076,CUST0442,2024-11-09,3,보통
CNS00077,CUST0248,2024-10-04,5,매우 만족
CNS00078,CUST0321,2024-11-19,5,매우 만족
CNS00079,CUST0486,2024-03-14,4,만족
CNS00080,CUST0185,2024-10-11,3,보통
CNS00081,CUST0076,2024-01-28,4,만족
CNS00082,CUST0396,2024-01-31,5,매우 만족
CNS00083,CUST0089,2024-09-24,5,매우 만족
CNS00084,CUST0120,2024-08-25,3,보통
CNS00085,CUST0496,2024-01-09,4,만족
CNS00086,CUST0402,2024-07-22,4,만족
CNS00087,CUST0034,2024-11-26,3,보통
CNS00088,CUST0352,2024-07-26,4,만족
CNS00089,CUST0468,2024-02-07,4,만족
CNS00090,CUST0212,2024-05-17,3,보통
CNS00091,CUST0403,2024-06-10,4,만족
CNS00092,CUST0297,2024-03-31,1,매우 불만족
CNS00093,CUST0398,2024-03-31,3,보통
CNS00094,CUST0325,2024-07-19,3,보통
CNS00095,CUST0465,2024-01-10,5,매우 만족
CNS00096,CUST0185,2024-08-07,5,매우 만족
CNS00097,CUST0097,2024-04-24,5,매우 만족
CNS00098,CUST0439,2024-09-21,5,매우 만족
CNS00099,CUST0018,2024-12-23,4,만족
CNS00100,CUST0117,2024-12-04,4,만족
CNS00101,CUST0189,2024-03-02,4,만족
CNS00102,CUST0424,2024-01-28,4,만족
CNS00103,CUST0325,2024-11-02,5,매우 만족
CNS00104,CUST0428,2024-12-03,5,매우 만족
CNS00105,CUST0433,2024-09-04,5,매우 만족
CNS00106,CUST0489,2024-06-10,3,보통
CNS00107,CUST0252,2024-02-05,5,매우 만족
CNS00108,CUST0305,2024-04-06,4,만족
CNS00109,CUST0315,2024-11-04,4,만족
CNS00110,CUST0493,2024-05-02,3,보통
CNS00111,CUST0307,2024-04-25,5,매우 만족
CNS00112,CUST0307,2024-07-17,2,불만족
CNS00113,CUST0093,2024-08-06,4,만족
