usage_id,customer_id,usage_month,data_usage_mb,call_minutes,sms_count
USG00001,CUST0084,2024-08,11060.9,260.5,21
USG00002,CUST0162,2024-07,13553.9,264.8,20
USG00003,CUST0053,2024-05,8165.1,25.4,29
USG00004,CUST0228,2024-05,13422.8,379.4,27
USG00005,CUST0308,2024-03,6458.3,132.4,30
USG00006,CUST0008,2024-04,8238.5,84.1,18
USG00007,CUST0436,2024-07,13927.7,181.9,22
USG00008,CUST0255,2024-12,7344.2,85.4,25
USG00009,CUST0454,2024-04,12905.7,258.9,22
USG00010,CUST0406,2024-09,14411.4,31.6,29
USG00011,CUST0227,2024-10,11468.6,140.6,27
USG00012,CUST0048,2024-06,6401.6,182.8,21
USG00013,CUST0254,2024-08,2244.0,53.2,20
USG00014,CUST0144,2024-01,17410.6,125.3,25
USG00015,CUST0050,2024-11,10264.4,114.6,18
USG00016,CUST0444,2024-08,7481.1,102.4,24
USG00017,CUST0476,2024-04,6283.7,133.1,25
USG00018,CUST0087,2024-07,7368.0,105.5,30
USG00019,CUST0280,2024-01,3805.9,168.4,19
USG00020,CUST0120,2024-03,6150.6,255.6,24
USG00021,CUST0465,2024-09,15524.9,111.4,20
USG00022,CUST0035,2024-06,11805.5,40.8,17
USG00023,CUST0360,2024-03,14235.2,105.9,20
USG00024,CUST0476,2024-05,9687.6,80.6,20
USG00025,CUST0055,2024-09,10863.7,57.2,27
USG00026,CUST0227,2024-07,1700.9,145.4,24
USG00027,CUST0141,2024-05,7020.4,132.5,16
USG00028,CUST0290,2024-12,11581.9,107.6,29
USG00029,CUST0332,2024-01,3832.2,210.3,24
USG00030,CUST0171,2024-05,4889.7,47.4,26
USG00031,CUST0079,2024-08,16657.7,76.7,24
USG00032,CUST0006,2024-08,15237.0,54.2,23
USG00033,CUST0182,2024-05,27850.1,56.5,27
USG00034,CUST0424,2024-06,6350.0,206.5,27
USG00035,CUST0139,2024-04,9934.6,71.5,18
USG00036,CUST0426,2024-05,11974.1,377.1,31
USG00037,CUST0367,2024-07,7028.1,155.3,18
USG00038,CUST0261,2024-02,4033.5,334.1,22
USG00039,CUST0364,2024-04,4040.1,310.2,22
USG00040,CUST0417,2024-06,11812.4,40.6,21
USG00041,CUST0011,2024-07,10199.0,75.6,35
USG00042,CUST0415,2024-10,12613.0,97.1,24
USG00043,CUST0014,2024-09,5665.2,349.1,22
USG00044,CUST0301,2024-09,12442.7,98.9,19
USG00045,CUST0258,2024-11,5123.3,18.4,14
USG00046,CUST0441,2024-02,5210.0,61.8,27
USG00047,CUST0050,2024-11,7205.2,81.6,24
USG00048,CUST0384,2024-08,10893.8,113.5,25
USG00049,CUST0415,2024-11,1627.2,227.6,19
USG00050,CUST0349,2024-07,2238.6,195.0,21
USG00051,CUST0254,2024-12,10746.4,30.5,23
USG00052,CUST0432,2024-05,11292.3,151.7,28
USG00053,CUST0373,2024-09,3847.8,104.4,18
USG00054,CUST0066,2024-04,6129.7,6.9,18
USG00055,CUST0221,2024-02,5635.3,146.1,27
USG00056,CUST0305,2024-06,14472.3,46.1,30
USG00057,CUST0325,2024-04,16117.8,127.4,28
