voc_id,customer_id,voc_date,channel,category,sentiment,content_summary
VOC00001,CUST0484,2024-08-26,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00002,CUST0361,2024-06-27,매장,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00003,CUST0398,2024-12-28,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00004,CUST0189,2024-09-10,앱,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00005,CUST0056,2024-07-02,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00006,CUST0202,2024-07-19,앱,결제오류,중립,결제오류 관련 중립 피드백
VOC00007,CUST0020,2024-12-03,전화,기타,부정,기타 관련 부정 피드백
VOC00008,CUST0267,2024-05-11,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00009,CUST0436,2024-11-02,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00010,CUST0176,2024-11-09,매장,기타,중립,기타 관련 중립 피드백
VOC00011,CUST0484,2024-10-24,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00012,CUST0127,2024-07-17,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00013,CUST0055,2024-08-21,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00014,CUST0117,2024-01-06,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00015,CUST0161,2024-02-03,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00016,CUST0281,2024-12-12,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00017,CUST0407,2024-01-02,매장,결제오류,부정,결제오류 관련 부정 피드백
VOC00018,CUST0349,2024-05-26,홈페이지,요금문의,중립,요금문의 관련 중립 피드백
VOC00019,CUST0458,2024-09-11,전화,결제오류,중립,결제오류 관련 중립 피드백
VOC00020,CUST0398,2024-04-07,홈페이지,결제오류,중립,결제오류 관련 중립 피드백
VOC00021,CUST0488,2024-08-19,전화,결제오류,부정,결제오류 관련 부정 피드백
