가입일,캠페인,키워드,디바이스,보험료계산완료건수,가입건수,매출
2026-05-01,25년_다이렉트_검색_1차,자동차보험견적,PC,22,3,1885797
2026-05-01,25년_다이렉트_검색_2차,자동차보험료비교,모바일,23,0,0
2026-05-01,26년_신년_검색프로모션,자동차보험,모바일,7,0,0
2026-05-01,26년_다이렉트_브랜드검색,자동차보험료비교,PC,12,0,0
2026-05-01,26년_신년_검색프로모션,자동차보험,PC,12,3,1993032
2026-05-02,25년_다이렉트_검색_2차,다이렉트자동차보험,모바일,0,0,0
2026-05-02,26년_신년_검색프로모션,다이렉트자동차보험,모바일,4,0,0
2026-05-02,26년_다이렉트_브랜드검색,자동차보험,PC,3,0,0
2026-05-02,25년_다이렉트_검색_2차,자동차보험견적,모바일,16,4,2406640
2026-05-02,26년_다이렉트_브랜드검색,자동차보험,PC,10,1,417539
2026-05-03,26년_다이렉트_브랜드검색,미상,PC,23,0,0
2026-05-03,25년_다이렉트_검색_2차,자동차보험견적,PC,1,0,0
2026-05-03,26년_다이렉트_브랜드검색,다이렉트자동차보험,PC,5,0,0
2026-05-04,26년_다이렉트_브랜드검색,온라인자동차보험,모바일,19,2,1480682
2026-05-04,26년_다이렉트_브랜드검색,온라인자동차보험,모바일,15,0,0
2026-05-04,25년_다이렉트_검색_2차,자동차보험견적,PC,12,3,2388714
2026-05-04,25년_다이렉트_검색_1차,자동차보험,PC,15,3,1090569
2026-05-04,25년_다이렉트_검색_1차,온라인자동차보험,PC,8,0,0
2026-05-05,26년_다이렉트_브랜드검색,자동차보험견적,PC,18,3,991812
2026-05-05,26년_다이렉트_브랜드검색,자동차보험견적,PC,8,0,0
2026-05-05,26년_다이렉트_브랜드검색,자동차보험견적,PC,17,2,1681738
2026-05-05,25년_다이렉트_검색_1차,자동차보험,PC,9,1,826618
2026-05-05,25년_다이렉트_검색_1차,자동차보험료비교,모바일,22,2,1780534
2026-05-06,25년_다이렉트_검색_1차,다이렉트자동차보험,PC,6,0,0
2026-05-06,26년_신년_검색프로모션,다이렉트자동차보험,모바일,9,0,0
2026-05-06,26년_다이렉트_브랜드검색,자동차보험견적,PC,4,0,0
2026-05-06,25년_다이렉트_검색_2차,온라인자동차보험,PC,6,0,0
2026-05-07,25년_다이렉트_검색_1차,자동차보험견적,PC,23,1,571436
2026-05-07,26년_다이렉트_브랜드검색,온라인자동차보험,PC,9,2,1148438
2026-05-08,26년_다이렉트_브랜드검색,자동차보험,모바일,16,3,1758855
2026-05-08,25년_다이렉트_검색_2차,온라인자동차보험,PC,1,0,0
2026-05-08,26년_신년_검색프로모션,자동차보험,PC,9,2,961028
2026-05-08,26년_다이렉트_브랜드검색,온라인자동차보험,모바일,18,1,859049
2026-05-09,26년_다이렉트_브랜드검색,다이렉트자동차보험,모바일,16,0,0
2026-05-09,26년_신년_검색프로모션,자동차보험,PC,21,3,2409366
2026-05-09,25년_다이렉트_검색_2차,다이렉트자동차보험,모바일,10,2,1712080
2026-05-10,25년_다이렉트_검색_2차,자동차보험,모바일,19,2,1023394
2026-05-10,26년_신년_검색프로모션,자동차보험,PC,12,0,0
2026-05-11,25년_다이렉트_검색_1차,자동차보험,PC,11,1,550773
2026-05-11,25년_다이렉트_검색_2차,자동차보험견적,PC,10,0,0
2026-05-11,25년_다이렉트_검색_2차,자동차보험료비교,모바일,11,1,617489
2026-05-11,25년_다이렉트_검색_1차,미상,모바일,7,0,0
2026-05-12,25년_다이렉트_검색_1차,자동차보험,모바일,15,3,1247367
2026-05-12,26년_다이렉트_브랜드검색,온라인자동차보험,PC,17,2,1187842
2026-05-12,26년_다이렉트_브랜드검색,미상,모바일,6,1,333531
2026-05-12,25년_다이렉트_검색_2차,자동차보험,모바일,14,0,0
2026-05-13,26년_신년_검색프로모션,온라인자동차보험,모바일,0,0,0
2026-05-13,25년_다이렉트_검색_2차,자동차보험,모바일,20,1,334511
