날짜,캠페인,광고그룹,키워드,디바이스,연령대,성별,시간대,소재유형,노출수,클릭수,광고비,CTR,CPC,평균노출순위
2026-05-01,25년_다이렉트_검색_1차,브랜드,자동차보험견적,모바일,50대이상,여,08시,이미지,12464,374,1110406,3.0,2969,1.7
2026-05-01,25년_다이렉트_검색_1차,브랜드,자동차보험료비교,PC,40대,남,13시,확장소재,16948,145,488360,0.86,3368,3.7
2026-05-01,25년_다이렉트_검색_1차,일반보험료,온라인자동차보험,모바일,20대,남,15시,확장소재,2933,43,134332,1.47,3124,3.2
2026-05-01,25년_다이렉트_검색_2차,브랜드,자동차보험견적,PC,30대,남,18시,텍스트,12034,135,280125,1.12,2075,1.3
2026-05-01,25년_다이렉트_검색_2차,신규가입,자동차보험견적,모바일,20대,남,23시,텍스트,3505,53,109551,1.51,2067,3.2
2026-05-01,25년_다이렉트_검색_2차,특약보험료,자동차보험견적,PC,40대,여,17시,이미지,2085,67,122007,3.21,1821,2.9
2026-05-01,26년_다이렉트_브랜드검색,브랜드,온라인자동차보험,PC,20대,여,20시,확장소재,10733,206,702872,1.92,3412,2.0
2026-05-01,26년_다이렉트_브랜드검색,일반보험료,다이렉트자동차보험,PC,40대,남,19시,확장소재,10262,261,903060,2.54,3460,4.4
2026-05-01,26년_신년_검색프로모션,브랜드,다이렉트자동차보험,모바일,20대,여,10시,확장소재,6392,270,779760,4.22,2888,4.2
2026-05-01,26년_신년_검색프로모션,브랜드,온라인자동차보험,PC,30대,남,12시,텍스트,18368,284,472292,1.55,1663,3.3
2026-05-01,26년_신년_검색프로모션,특약보험료,자동차보험견적,모바일,30대,남,11시,이미지,1559,66,166452,4.23,2522,3.5
2026-05-02,25년_다이렉트_검색_1차,브랜드,자동차보험,PC,50대이상,여,16시,텍스트,7658,157,389674,2.05,2482,3.6
2026-05-02,25년_다이렉트_검색_1차,브랜드,자동차보험료비교,모바일,20대,여,06시,확장소재,6199,104,218400,1.68,2100,1.8
2026-05-02,25년_다이렉트_검색_1차,신규가입,자동차보험료비교,모바일,20대,남,11시,텍스트,18591,456,1155048,2.45,2533,2.0
2026-05-02,25년_다이렉트_검색_1차,일반보험료,다이렉트자동차보험,모바일,20대,여,17시,텍스트,17146,555,1772115,3.24,3193,4.4
2026-05-02,25년_다이렉트_검색_2차,브랜드,다이렉트자동차보험,PC,50대이상,남,16시,텍스트,8838,184,466256,2.08,2534,1.8
2026-05-02,25년_다이렉트_검색_2차,브랜드,자동차보험,PC,50대이상,남,06시,확장소재,1560,66,220704,4.23,3344,3.0
2026-05-02,26년_다이렉트_브랜드검색,브랜드,다이렉트자동차보험,모바일,30대,여,08시,텍스트,16086,350,803600,2.18,2296,3.4
2026-05-02,26년_다이렉트_브랜드검색,브랜드,온라인자동차보험,PC,30대,남,19시,텍스트,8496,224,301504,2.64,1346,3.7
2026-05-02,26년_다이렉트_브랜드검색,일반보험료,다이렉트자동차보험,모바일,30대,여,10시,텍스트,12149,417,1015812,3.43,2436,2.1
2026-05-02,26년_다이렉트_브랜드검색,특약보험료,자동차보험견적,모바일,40대,여,09시,확장소재,2430,92,275172,3.79,2991,4.0
2026-05-02,26년_신년_검색프로모션,브랜드,자동차보험료비교,PC,40대,여,06시,확장소재,17929,305,879925,1.7,2885,4.4
2026-05-02,26년_신년_검색프로모션,특약보험료,자동차보험,모바일,50대이상,남,14시,확장소재,10730,441,1339317,4.11,3037,1.6
2026-05-02,26년_신년_검색프로모션,특약보험료,자동차보험,모바일,50대이상,남,22시,이미지,6030,141,290037,2.34,2057,2.3
2026-05-03,25년_다이렉트_검색_1차,신규가입,다이렉트자동차보험,모바일,50대이상,여,21시,텍스트,1650,55,99660,3.33,1812,1.4
2026-05-03,25년_다이렉트_검색_1차,일반보험료,온라인자동차보험,모바일,50대이상,여,21시,텍스트,9935,96,173568,0.97,1808,2.2
2026-05-03,25년_다이렉트_검색_1차,일반보험료,자동차보험견적,모바일,50대이상,여,12시,텍스트,7843,223,558615,2.84,2505,3.9
2026-05-03,25년_다이렉트_검색_1차,특약보험료,자동차보험료비교,PC,30대,여,22시,텍스트,1069,45,64125,4.21,1425,3.2
2026-05-03,25년_다이렉트_검색_2차,일반보험료,온라인자동차보험,모바일,30대,남,20시,확장소재,15838,201,625311,1.27,3111,3.7
2026-05-03,26년_다이렉트_브랜드검색,신규가입,온라인자동차보험,모바일,30대,여,22시,이미지,2868,30,35970,1.05,1199,1.4
2026-05-03,26년_다이렉트_브랜드검색,신규가입,자동차보험료비교,PC,50대이상,여,21시,확장소재,13684,592,889776,4.33,1503,3.0
2026-05-03,26년_신년_검색프로모션,브랜드,다이렉트자동차보험,모바일,30대,남,06시,텍스트,4952,112,377328,2.26,3369,4.3
2026-05-03,26년_신년_검색프로모션,브랜드,자동차보험료비교,모바일,50대이상,여,10시,이미지,7299,321,460635,4.4,1435,3.6
2026-05-04,25년_다이렉트_검색_1차,신규가입,다이렉트자동차보험,모바일,30대,남,12시,이미지,3641,124,323640,3.41,2610,3.8
2026-05-04,25년_다이렉트_검색_1차,신규가입,자동차보험료비교,모바일,20대,여,17시,텍스트,14084,391,545445,2.78,1395,3.9
2026-05-04,25년_다이렉트_검색_1차,일반보험료,자동차보험견적,PC,50대이상,남,19시,이미지,5887,131,293440,2.23,2240,3.3
